"id"	"name"	"latitude"	"longitude"	"area_id"	"order_num"	"show_at_zoom"	"show_on_main_map"	"show_on_map"
"10100"	"Spain"	"40.355843999999998"	"-4.2175649999999996"	"10000"	"10100"	"0"	"t"	"t"
"10200"	"Portugal"	"39.557611999999999"	"-8.4143000000000008"	"10000"	"10200"	"0"	"t"	"t"
"10300"	"Great Britain"	"16.264142"	"-61.495297999999998"	"10000"	"10300"	"0"	"t"	"t"
"10700"	"France"	"46.349705"	"1.70685"	"10000"	"10700"	"0"	"t"	"t"
"10800"	"Netherlands"	"53.006912"	"5.9690099999999999"	"10000"	"10800"	"0"	"t"	"t"
"10900"	"Denmark"	"56.253506999999999"	"9.3267340000000001"	"10000"	"10900"	"0"	"t"	"t"
"20100"	"Rhode Island"	"41.384793000000002"	"-71.466515999999999"	"20000"	"20100"	"0"	"t"	"t"
"20400"	"Massachusetts"	"42.179453000000002"	"-70.724688999999998"	"20000"	"20400"	"0"	"t"	"t"
"20500"	"Connecticut"	"41.358665000000002"	"-72.613821999999999"	"20000"	"20500"	"0"	"t"	"t"
"20600"	"New York"	"40.703068000000002"	"-74.011116999999999"	"20000"	"20600"	"0"	"t"	"t"
"31200"	"Puerto Rico"	"18.420959"	"-66.070508000000004"	"30000"	"31200"	"0"	"t"	"t"
"31300"	"Cuba"	"21.947759999999999"	"-79.127685999999997"	"30000"	"31300"	"0"	"t"	"t"
"33200"	"Tortola"	"18.347325000000001"	"-64.715063999999998"	"30000"	"33200"	"0"	"t"	"t"
"33400"	"Antigua"	"17.067453"	"-61.784740999999997"	"30000"	"33400"	"0"	"t"	"t"
"33500"	"St. Kitts"	"17.300000000000001"	"-62.716667000000001"	"30000"	"33500"	"0"	"t"	"t"
"33600"	"Nevis"	"17.151005000000001"	"-62.589222999999997"	"30000"	"33600"	"0"	"t"	"t"
"33700"	"Montserrat"	"16.699999999999999"	"-62.216667000000001"	"30000"	"33700"	"0"	"t"	"t"
